Region,Segment,Sub-segment,Sub-segment 1,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Equipment Type,Sorting and Grading Equipment,Optical sorters,"4,430.00","4,818.00","5,247.00","5,716.00","6,225.00","6,769.00","7,368.00","8,018.00","8,731.00","9,491.00","10,312.00","11,187.00","12,108.00"
Global,By Equipment Type,Sorting and Grading Equipment,Size graders,"23,377.00","24,568.00","25,816.00","27,122.00","28,447.00","29,822.00","31,265.00","32,804.00","34,446.00","36,153.00","37,931.00","39,732.00","41,537.00"
Global,By Equipment Type,Sorting and Grading Equipment,Weight graders,"14,279.00","15,084.00","15,939.00","16,840.00","17,781.00","18,758.00","19,790.00","20,888.00","22,057.00","23,289.00","24,588.00","25,919.00","27,280.00"
Global,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,"8,866.00","9,265.00","9,690.00","10,144.00","10,612.00","11,102.00","11,615.00","12,150.00","12,717.00","13,298.00","13,893.00","14,482.00","15,064.00"
Global,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,522.00,557.00,594.00,634.00,675.00,718.00,763.00,811.00,862.00,920.00,977.00,"1,036.00","1,098.00"
Global,By Equipment Type,Thermal Processing Equipment,Roasting systems,"14,590.00","15,675.00","16,850.00","18,135.00","19,506.00","20,961.00","22,513.00","24,185.00","25,977.00","27,908.00","29,987.00","32,175.00","34,461.00"
Global,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,"10,532.00","11,130.00","11,760.00","12,423.00","13,107.00","13,828.00","14,591.00","15,409.00","16,279.00","17,192.00","18,153.00","19,134.00","20,134.00"
Global,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","1,694.00","1,794.00","1,897.00","2,000.00","2,115.00","2,234.00","2,361.00","2,494.00","2,638.00","2,788.00","2,939.00","3,097.00","3,260.00"
North America,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,"5,254.00","5,449.00","5,650.00","5,861.00","6,083.00","6,322.00","6,579.00","6,851.00","7,130.00","7,404.00","7,675.00","7,934.00","8,183.00"
North America,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"10,207.00","10,752.00","11,327.00","11,937.00","12,587.00","13,298.00","14,074.00","14,916.00","15,802.00","16,722.00","17,662.00","18,617.00","19,591.00"
North America,By Equipment Type,Storage Equipment,Silos,604.00,630.00,660.00,690.00,721.00,751.00,782.00,812.00,845.00,880.00,916.00,951.00,986.00
North America,By Equipment Type,Storage Equipment,Storage bins and hoppers,"3,791.00","3,969.00","4,153.00","4,348.00","4,552.00","4,765.00","4,992.00","5,228.00","5,468.00","5,717.00","5,979.00","6,249.00","6,520.00"
North America,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,"2,170.00","2,281.00","2,396.00","2,522.00","2,656.00","2,798.00","2,944.00","3,090.00","3,236.00","3,385.00","3,543.00","3,706.00","3,870.00"
North America,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes","4,221.00","4,378.00","4,544.00","4,722.00","4,911.00","5,112.00","5,324.00","5,548.00","5,780.00","6,011.00","6,243.00","6,464.00","6,679.00"
North America,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,"5,853.00","6,100.00","6,363.00","6,644.00","6,943.00","7,264.00","7,607.00","7,973.00","8,357.00","8,742.00","9,124.00","9,488.00","9,844.00"
North America,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"9,426.00","9,899.00","10,424.00","10,989.00","11,559.00","12,149.00","12,765.00","13,430.00","14,154.00","14,912.00","15,708.00","16,521.00","17,344.00"
North America,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,"4,952.00","5,253.00","5,554.00","5,863.00","6,192.00","6,547.00","6,939.00","7,362.00","7,802.00","8,251.00","8,722.00","9,212.00","9,716.00"
North America,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,"2,423.00","2,512.00","2,604.00","2,702.00","2,805.00","2,915.00","3,034.00","3,161.00","3,292.00","3,422.00","3,551.00","3,673.00","3,793.00"
North America,By Equipment Type,Sorting and Grading Equipment,Optical sorters,"1,347.00","1,464.00","1,593.00","1,731.00","1,879.00","2,033.00","2,201.00","2,386.00","2,591.00","2,813.00","3,053.00","3,308.00","3,574.00"
North America,By Equipment Type,Sorting and Grading Equipment,Size graders,"5,150.00","5,399.00","5,663.00","5,933.00","6,195.00","6,461.00","6,735.00","7,037.00","7,371.00","7,720.00","8,087.00","8,455.00","8,821.00"
North America,By Equipment Type,Sorting and Grading Equipment,Weight graders,"3,603.00","3,788.00","3,980.00","4,185.00","4,403.00","4,636.00","4,882.00","5,135.00","5,395.00","5,669.00","5,963.00","6,268.00","6,582.00"
North America,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,"1,536.00","1,593.00","1,654.00","1,719.00","1,787.00","1,860.00","1,937.00","2,020.00","2,106.00","2,192.00","2,276.00","2,355.00","2,431.00"
North America,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,170.00,181.00,192.00,205.00,217.00,231.00,246.00,260.00,276.00,294.00,312.00,331.00,351.00
North America,By Equipment Type,Thermal Processing Equipment,Roasting systems,"2,424.00","2,596.00","2,780.00","2,984.00","3,205.00","3,442.00","3,694.00","3,958.00","4,234.00","4,529.00","4,849.00","5,184.00","5,531.00"
North America,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,"1,753.00","1,848.00","1,953.00","2,063.00","2,172.00","2,284.00","2,400.00","2,522.00","2,653.00","2,791.00","2,934.00","3,075.00","3,218.00"
North America,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)",438.00,464.00,489.00,513.00,539.00,567.00,598.00,630.00,665.00,701.00,737.00,775.00,813.00
Europe,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,"4,600.00","4,761.00","4,924.00","5,095.00","5,270.00","5,451.00","5,642.00","5,843.00","6,048.00","6,253.00","6,461.00","6,667.00","6,868.00"
Europe,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"8,113.00","8,565.00","9,044.00","9,548.00","10,071.00","10,616.00","11,196.00","11,818.00","12,482.00","13,168.00","13,881.00","14,607.00","15,340.00"
Europe,By Equipment Type,Storage Equipment,Silos,496.00,512.00,531.00,548.00,568.00,590.00,612.00,636.00,657.00,681.00,705.00,729.00,751.00
Europe,By Equipment Type,Storage Equipment,Storage bins and hoppers,"3,588.00","3,731.00","3,880.00","4,042.00","4,209.00","4,389.00","4,581.00","4,784.00","4,994.00","5,213.00","5,436.00","5,659.00","5,882.00"
Europe,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,"1,876.00","1,961.00","2,052.00","2,143.00","2,240.00","2,342.00","2,453.00","2,568.00","2,691.00","2,814.00","2,938.00","3,064.00","3,193.00"
Europe,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes","3,711.00","3,846.00","3,987.00","4,138.00","4,294.00","4,453.00","4,619.00","4,791.00","4,968.00","5,150.00","5,335.00","5,522.00","5,702.00"
Europe,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,"4,496.00","4,683.00","4,874.00","5,072.00","5,272.00","5,482.00","5,705.00","5,942.00","6,190.00","6,443.00","6,705.00","6,971.00","7,236.00"
Europe,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"8,882.00","9,322.00","9,787.00","10,273.00","10,775.00","11,298.00","11,841.00","12,412.00","13,018.00","13,651.00","14,311.00","14,980.00","15,646.00"
Europe,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,"4,010.00","4,229.00","4,459.00","4,701.00","4,957.00","5,229.00","5,523.00","5,833.00","6,154.00","6,485.00","6,827.00","7,180.00","7,538.00"
Europe,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,"1,764.00","1,829.00","1,901.00","1,973.00","2,047.00","2,119.00","2,194.00","2,272.00","2,353.00","2,437.00","2,520.00","2,600.00","2,680.00"
Europe,By Equipment Type,Sorting and Grading Equipment,Optical sorters,"1,063.00","1,148.00","1,241.00","1,346.00","1,458.00","1,577.00","1,709.00","1,853.00","2,009.00","2,172.00","2,344.00","2,527.00","2,718.00"
Europe,By Equipment Type,Sorting and Grading Equipment,Size graders,"5,108.00","5,334.00","5,565.00","5,808.00","6,059.00","6,326.00","6,612.00","6,910.00","7,219.00","7,531.00","7,847.00","8,163.00","8,476.00"
Europe,By Equipment Type,Sorting and Grading Equipment,Weight graders,"2,971.00","3,119.00","3,274.00","3,435.00","3,600.00","3,769.00","3,946.00","4,136.00","4,340.00","4,555.00","4,777.00","5,003.00","5,230.00"
Europe,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,"1,061.00","1,102.00","1,146.00","1,192.00","1,238.00","1,282.00","1,327.00","1,371.00","1,422.00","1,473.00","1,527.00","1,581.00","1,632.00"
Europe,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,124.00,131.00,140.00,149.00,158.00,167.00,175.00,185.00,197.00,209.00,220.00,232.00,245.00
Europe,By Equipment Type,Thermal Processing Equipment,Roasting systems,"2,691.00","2,875.00","3,070.00","3,281.00","3,502.00","3,734.00","3,977.00","4,240.00","4,521.00","4,820.00","5,141.00","5,472.00","5,813.00"
Europe,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,"1,868.00","1,955.00","2,045.00","2,139.00","2,237.00","2,341.00","2,448.00","2,565.00","2,688.00","2,816.00","2,949.00","3,082.00","3,215.00"
Europe,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)",336.00,352.00,373.00,391.00,410.00,431.00,454.00,476.00,501.00,526.00,553.00,581.00,609.00
Asia Pacific,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,"9,921.00","10,395.00","10,893.00","11,424.00","11,970.00","12,541.00","13,136.00","13,767.00","14,426.00","15,114.00","15,825.00","16,534.00","17,245.00"
Asia Pacific,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"17,448.00","18,601.00","19,855.00","21,213.00","22,665.00","24,207.00","25,865.00","27,646.00","29,542.00","31,534.00","33,604.00","35,726.00","37,898.00"
Asia Pacific,By Equipment Type,Storage Equipment,Silos,918.00,963.00,"1,009.00","1,059.00","1,108.00","1,162.00","1,217.00","1,278.00","1,342.00","1,405.00","1,471.00","1,537.00","1,606.00"
Asia Pacific,By Equipment Type,Storage Equipment,Storage bins and hoppers,"8,366.00","8,813.00","9,285.00","9,780.00","10,304.00","10,870.00","11,486.00","12,145.00","12,839.00","13,551.00","14,286.00","15,042.00","15,813.00"
Asia Pacific,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,"3,751.00","3,966.00","4,186.00","4,412.00","4,652.00","4,915.00","5,201.00","5,513.00","5,838.00","6,170.00","6,515.00","6,872.00","7,243.00"
Asia Pacific,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes","8,203.00","8,613.00","9,051.00","9,519.00","10,008.00","10,516.00","11,046.00","11,602.00","12,185.00","12,799.00","13,438.00","14,091.00","14,748.00"
Asia Pacific,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,"9,062.00","9,563.00","10,095.00","10,660.00","11,241.00","11,842.00","12,470.00","13,136.00","13,852.00","14,615.00","15,417.00","16,235.00","17,067.00"
Asia Pacific,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"22,126.00","23,496.00","24,975.00","26,545.00","28,186.00","29,909.00","31,756.00","33,759.00","35,918.00","38,189.00","40,565.00","42,994.00","45,471.00"
Asia Pacific,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,"8,634.00","9,224.00","9,842.00","10,505.00","11,214.00","11,985.00","12,822.00","13,717.00","14,658.00","15,645.00","16,690.00","17,795.00","18,952.00"
Asia Pacific,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,"3,048.00","3,191.00","3,344.00","3,508.00","3,678.00","3,851.00","4,031.00","4,218.00","4,414.00","4,618.00","4,830.00","5,037.00","5,248.00"
Asia Pacific,By Equipment Type,Sorting and Grading Equipment,Optical sorters,"1,693.00","1,854.00","2,032.00","2,229.00","2,446.00","2,683.00","2,943.00","3,224.00","3,532.00","3,863.00","4,222.00","4,607.00","5,018.00"
Asia Pacific,By Equipment Type,Sorting and Grading Equipment,Size graders,"10,353.00","10,953.00","11,586.00","12,256.00","12,946.00","13,662.00","14,416.00","15,218.00","16,069.00","16,965.00","17,905.00","18,868.00","19,847.00"
Asia Pacific,By Equipment Type,Sorting and Grading Equipment,Weight graders,"6,291.00","6,698.00","7,136.00","7,597.00","8,079.00","8,577.00","9,105.00","9,675.00","10,291.00","10,943.00","11,630.00","12,338.00","13,065.00"
Asia Pacific,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,"5,014.00","5,275.00","5,551.00","5,846.00","6,153.00","6,476.00","6,816.00","7,172.00","7,547.00","7,937.00","8,338.00","8,742.00","9,147.00"
Asia Pacific,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,188.00,202.00,217.00,232.00,249.00,267.00,286.00,306.00,327.00,350.00,375.00,399.00,425.00
Asia Pacific,By Equipment Type,Thermal Processing Equipment,Roasting systems,"7,607.00","8,216.00","8,880.00","9,610.00","10,391.00","11,224.00","12,118.00","13,088.00","14,139.00","15,279.00","16,511.00","17,818.00","19,198.00"
Asia Pacific,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,"5,540.00","5,897.00","6,271.00","6,664.00","7,074.00","7,511.00","7,978.00","8,481.00","9,017.00","9,581.00","10,178.00","10,798.00","11,436.00"
Asia Pacific,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)",757.00,805.00,855.00,908.00,968.00,"1,030.00","1,094.00","1,165.00","1,237.00","1,315.00","1,393.00","1,474.00","1,559.00"
Latin America,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,"1,272.00","1,315.00","1,358.00","1,401.00","1,446.00","1,492.00","1,540.00","1,593.00","1,645.00","1,700.00","1,754.00","1,810.00","1,863.00"
Latin America,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"2,309.00","2,436.00","2,568.00","2,706.00","2,847.00","2,995.00","3,150.00","3,317.00","3,492.00","3,677.00","3,867.00","4,061.00","4,259.00"
Latin America,By Equipment Type,Storage Equipment,Silos,129.00,133.00,138.00,142.00,148.00,152.00,157.00,164.00,168.00,174.00,180.00,186.00,192.00
Latin America,By Equipment Type,Storage Equipment,Storage bins and hoppers,"1,154.00","1,198.00","1,242.00","1,288.00","1,337.00","1,391.00","1,450.00","1,511.00","1,574.00","1,637.00","1,699.00","1,759.00","1,817.00"
Latin America,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,426.00,447.00,466.00,489.00,510.00,532.00,555.00,578.00,604.00,630.00,656.00,683.00,709.00
Latin America,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes","1,303.00","1,348.00","1,394.00","1,444.00","1,492.00","1,546.00","1,601.00","1,662.00","1,722.00","1,782.00","1,840.00","1,897.00","1,951.00"
Latin America,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,"1,240.00","1,289.00","1,341.00","1,394.00","1,446.00","1,499.00","1,555.00","1,615.00","1,679.00","1,744.00","1,811.00","1,876.00","1,939.00"
Latin America,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"3,071.00","3,214.00","3,363.00","3,525.00","3,694.00","3,872.00","4,056.00","4,250.00","4,450.00","4,658.00","4,868.00","5,081.00","5,292.00"
Latin America,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,"1,197.00","1,259.00","1,329.00","1,402.00","1,477.00","1,558.00","1,641.00","1,728.00","1,819.00","1,912.00","2,010.00","2,109.00","2,210.00"
Latin America,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,314.00,323.00,335.00,346.00,357.00,369.00,381.00,394.00,407.00,419.00,431.00,443.00,455.00
Latin America,By Equipment Type,Sorting and Grading Equipment,Optical sorters,168.00,181.00,197.00,211.00,228.00,246.00,268.00,289.00,313.00,337.00,362.00,391.00,420.00
Latin America,By Equipment Type,Sorting and Grading Equipment,Size graders,"1,599.00","1,668.00","1,741.00","1,815.00","1,888.00","1,964.00","2,043.00","2,128.00","2,219.00","2,312.00","2,408.00","2,503.00","2,595.00"
Latin America,By Equipment Type,Sorting and Grading Equipment,Weight graders,798.00,835.00,874.00,916.00,960.00,"1,005.00","1,053.00","1,104.00","1,157.00","1,211.00","1,267.00","1,321.00","1,376.00"
Latin America,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,896.00,925.00,956.00,991.00,"1,026.00","1,065.00","1,105.00","1,145.00","1,185.00","1,225.00","1,265.00","1,302.00","1,338.00"
Latin America,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,22.00,24.00,25.00,26.00,28.00,29.00,31.00,33.00,34.00,38.00,39.00,41.00,43.00
Latin America,By Equipment Type,Thermal Processing Equipment,Roasting systems,"1,102.00","1,175.00","1,254.00","1,339.00","1,428.00","1,521.00","1,621.00","1,728.00","1,842.00","1,965.00","2,093.00","2,226.00","2,361.00"
Latin America,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,840.00,879.00,920.00,965.00,"1,008.00","1,052.00","1,099.00","1,147.00","1,199.00","1,254.00","1,312.00","1,370.00","1,428.00"
Latin America,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)",85.00,91.00,95.00,100.00,105.00,109.00,115.00,119.00,126.00,132.00,137.00,144.00,150.00
Middle East & Africa,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,866.00,892.00,917.00,946.00,974.00,"1,001.00","1,030.00","1,059.00","1,088.00","1,116.00","1,144.00","1,171.00","1,197.00"
Middle East & Africa,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"1,599.00","1,679.00","1,757.00","1,837.00","1,922.00","2,013.00","2,112.00","2,219.00","2,327.00","2,436.00","2,547.00","2,662.00","2,777.00"
Middle East & Africa,By Equipment Type,Storage Equipment,Silos,92.00,96.00,98.00,101.00,104.00,106.00,109.00,112.00,116.00,119.00,122.00,126.00,129.00
Middle East & Africa,By Equipment Type,Storage Equipment,Storage bins and hoppers,828.00,855.00,884.00,915.00,947.00,983.00,"1,020.00","1,058.00","1,095.00","1,134.00","1,172.00","1,211.00","1,250.00"
Middle East & Africa,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,342.00,356.00,369.00,382.00,397.00,412.00,429.00,446.00,464.00,483.00,501.00,519.00,535.00
Middle East & Africa,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes",847.00,874.00,902.00,933.00,962.00,993.00,"1,023.00","1,055.00","1,090.00","1,123.00","1,155.00","1,186.00","1,215.00"
Middle East & Africa,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,837.00,867.00,900.00,933.00,967.00,"1,002.00","1,037.00","1,075.00","1,113.00","1,150.00","1,188.00","1,225.00","1,261.00"
Middle East & Africa,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"2,234.00","2,331.00","2,429.00","2,534.00","2,636.00","2,740.00","2,848.00","2,965.00","3,093.00","3,223.00","3,360.00","3,497.00","3,631.00"
Middle East & Africa,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,850.00,890.00,934.00,978.00,"1,025.00","1,074.00","1,127.00","1,183.00","1,240.00","1,298.00","1,357.00","1,417.00","1,478.00"
Middle East & Africa,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,317.00,325.00,334.00,344.00,354.00,363.00,375.00,385.00,397.00,407.00,417.00,427.00,436.00
Middle East & Africa,By Equipment Type,Sorting and Grading Equipment,Optical sorters,159.00,171.00,184.00,199.00,214.00,230.00,247.00,266.00,286.00,306.00,331.00,354.00,378.00
Middle East & Africa,By Equipment Type,Sorting and Grading Equipment,Size graders,"1,167.00","1,214.00","1,261.00","1,310.00","1,359.00","1,409.00","1,459.00","1,511.00","1,568.00","1,625.00","1,684.00","1,743.00","1,798.00"
Middle East & Africa,By Equipment Type,Sorting and Grading Equipment,Weight graders,616.00,644.00,675.00,707.00,739.00,771.00,804.00,838.00,874.00,911.00,951.00,989.00,"1,027.00"
Middle East & Africa,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,359.00,370.00,383.00,396.00,408.00,419.00,430.00,442.00,457.00,471.00,487.00,502.00,516.00
Middle East & Africa,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,18.00,19.00,20.00,22.00,23.00,24.00,25.00,27.00,28.00,29.00,31.00,33.00,34.00
Middle East & Africa,By Equipment Type,Thermal Processing Equipment,Roasting systems,766.00,813.00,866.00,921.00,980.00,"1,040.00","1,103.00","1,171.00","1,241.00","1,315.00","1,393.00","1,475.00","1,558.00"
Middle East & Africa,By Equipment Type,Thermal Processing Equipment,Cooling and tempering systems,531.00,551.00,571.00,592.00,616.00,640.00,666.00,694.00,722.00,750.00,780.00,809.00,837.00
Middle East & Africa,By Equipment Type,"Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)","Others (Inspection and Quality Control Systems, Automation and Process Control Systems, etc.)",78.00,82.00,85.00,88.00,93.00,97.00,100.00,104.00,109.00,114.00,119.00,123.00,129.00
U.S.,By Equipment Type,Receiving and Feeding Equipment,Receiving and Feeding Equipment,"4,028.00","4,175.00","4,331.00","4,499.00","4,677.00","4,866.00","5,069.00","5,285.00","5,509.00","5,732.00","5,951.00","6,157.00","6,354.00"
U.S.,By Equipment Type,Cleaning and Drying Equipment,Cleaning and Drying Equipment,"8,370.00","8,814.00","9,290.00","9,801.00","10,348.00","10,944.00","11,592.00","12,294.00","13,036.00","13,808.00","14,594.00","15,385.00","16,189.00"
U.S.,By Equipment Type,Storage Equipment,Silos,502.00,524.00,549.00,575.00,601.00,626.00,652.00,678.00,706.00,736.00,767.00,797.00,827.00
U.S.,By Equipment Type,Storage Equipment,Storage bins and hoppers,"2,998.00","3,140.00","3,291.00","3,454.00","3,625.00","3,801.00","3,987.00","4,178.00","4,373.00","4,577.00","4,794.00","5,017.00","5,241.00"
U.S.,By Equipment Type,Conveying and Handling Equipment,Nut conveyors,"1,777.00","1,870.00","1,967.00","2,073.00","2,186.00","2,306.00","2,428.00","2,550.00","2,670.00","2,794.00","2,926.00","3,063.00","3,201.00"
U.S.,By Equipment Type,Conveying and Handling Equipment,"Elevating, transfer, distribution chutes","3,316.00","3,441.00","3,574.00","3,716.00","3,867.00","4,028.00","4,199.00","4,382.00","4,573.00","4,762.00","4,948.00","5,123.00","5,292.00"
U.S.,By Equipment Type,Shelling and Kernel Separation Equipment,Shellers,"4,696.00","4,898.00","5,114.00","5,345.00","5,591.00","5,854.00","6,135.00","6,435.00","6,749.00","7,065.00","7,379.00","7,680.00","7,974.00"
U.S.,By Equipment Type,Shelling and Kernel Separation Equipment,Decorticators and hullers,"7,470.00","7,847.00","8,267.00","8,717.00","9,162.00","9,619.00","10,096.00","10,618.00","11,197.00","11,810.00","12,458.00","13,120.00","13,791.00"
U.S.,By Equipment Type,Shelling and Kernel Separation Equipment,Kernel shell separation systems,"4,054.00","4,307.00","4,558.00","4,813.00","5,083.00","5,376.00","5,703.00","6,057.00","6,425.00","6,800.00","7,195.00","7,608.00","8,035.00"
U.S.,By Equipment Type,Shelling and Kernel Separation Equipment,Re shelling and re processing units,"2,004.00","2,079.00","2,158.00","2,243.00","2,333.00","2,429.00","2,531.00","2,640.00","2,753.00","2,866.00","2,976.00","3,080.00","3,180.00"
U.S.,By Equipment Type,Sorting and Grading Equipment,Optical sorters,"1,150.00","1,251.00","1,362.00","1,481.00","1,607.00","1,739.00","1,882.00","2,040.00","2,216.00","2,408.00","2,616.00","2,836.00","3,066.00"
U.S.,By Equipment Type,Sorting and Grading Equipment,Size graders,"4,008.00","4,201.00","4,406.00","4,615.00","4,818.00","5,025.00","5,239.00","5,474.00","5,735.00","6,009.00","6,298.00","6,589.00","6,880.00"
U.S.,By Equipment Type,Sorting and Grading Equipment,Weight graders,"2,923.00","3,072.00","3,228.00","3,398.00","3,580.00","3,773.00","3,974.00","4,180.00","4,391.00","4,616.00","4,858.00","5,111.00","5,371.00"
U.S.,By Equipment Type,Sorting and Grading Equipment,Manual inspection tables,"1,137.00","1,179.00","1,224.00","1,272.00","1,322.00","1,376.00","1,434.00","1,497.00","1,562.00","1,628.00","1,691.00","1,750.00","1,807.00"
U.S.,By Equipment Type,Thermal Processing Equipment,Pasteurization systems,142.00,151.00,161.00,172.00,182.00,194.00,206.00,218.00,232.00,247.00,262.00,278.00,295.00
U.S.,By Equipment Type,Thermal Processing Equipment,Roasting systems,"1,809.00","1,940.00","2,079.00","2,233.00","2,400.00","2,579.00","2,770.00","2,970.00","3,179.00","3,404.00","3,648.00","3,904.00","4,169.00"
